מספר סידורי,קישור-באתר,שם הסרט,שנה,אורך,ז'אנר,שחקנים,תיקייה
38,http://www.torec.net/sub.asp?sub_id=1493,שקרים טיפשיים,2005,8 דקות,"פשע, מתח, דרמה.",אריק בלפור קולין האנקס לאורן גרמן אלאן טודיק ,movies/שקרים טיפשיים.txt
39,http://www.torec.net/sub.asp?sub_id=1498,הארי פוטר וגביע האש,2005,142 דקות,הרפתקאות/פנטזיה,דניאל רדקליף רופרט גרינט אמה ווטסון רובי קולטרין ראלף פינס מייקל גמבון ברנדן גליסון ג'ייסון אייזיק גארי אולדמן מירנדה ריצארדסון אלן ריקמן מגי סמית' טימוטי ספל שירלי הנדרסון,movies/הארי פוטר וגביע האש.txt
40,http://www.torec.net/sub.asp?sub_id=1566,אני אוהב את פינושה,2001,52 דקות,תיעודי,,movies/אני אוהב את פינושה.txt
41,http://www.torec.net/sub.asp?sub_id=1515,תרגיל לחשפניות מתחילות,2006,93 דקות,קומדיה / ספורט,ברט ריינולדס אנג'י אוורהארט פול רודריגז די.אל האגלי גבריאל ריס פול ווסלי קתרין וויניק מרנט פטרסון קניה מור סטיב מונרו,movies/תרגיל לחשפניות מתחילות.txt
42,http://www.torec.net/sub.asp?sub_id=1510,ריבאונד,2005,103 דקות,קומדיה / ספורט,מרטין לורנס וונדי רחל רובינסון ברקין מאייר הורשיו סאנז פטריק וורבורטון מייגן מולאלי אורן וויליאמס אדי מרטין סטיבן כריסטופר פרקר אליה שוקאט,movies/ריבאונד.txt
43,http://www.torec.net/sub.asp?sub_id=1522,בן המעמד הנמוך,2005,95 דקות,פעולה / קומדיה / פשע / דרמה / מתח,ניק קאנון רוזלין סאנצ'ז שון אשמור אנג'לו ספיצירי יו בונוויל צ'יץ' מרין איאן גומז,movies/בן המעמד הנמוך.txt
44,http://www.torec.net/sub.asp?sub_id=1527,כנופיית נד קלי,2003,110 דקות,דרמה / פשע / ביוגרפיה,הית' לדג'ר אורלנדו בלום ג'פרי ראש נעמי ווטס ג'ואל אדגרטון קרי קונדון רייצ'ל גריפית'ס לורנס קינלן,movies/כנופיית נד קלי.txt
45,http://www.torec.net/sub.asp?sub_id=1046,קינג קונג,2005, ,מתח / פעולה,נעמי ווטס ג'ק בלאק אדריאן ברודי אנדי סרקיס ג'יימי בל תומאס קרטצמן קולין הנקס,movies/קינג קונג.txt
46,http://www.torec.net/sub.asp?sub_id=1065,גבר גבר,2005,83 דקות,קומדיה - פעולה,סמואל ל. ג'קסון יוג'ין לוי לוק גוס אנת'וני מקי מיגואל  פרר הורשיו סאנסז סוזי אסמן רייצ'ל קראפורד,movies/גבר גבר.txt
47,http://www.torec.net/sub.asp?sub_id=1029,בן ערובה,2005,113 דקות,פעולה / מתח,ברוס וויליס קווין פולאק ג'ימי בנט מישל הורן בן פוסטר ג'ונתן טאקר מרשל אלמן סרינה סקוט תומאס קים קואטס רוברט נפר רומר וויליס,movies/בן ערובה.txt
