מספר סידורי,קישור-באתר,שם הסרט,שנה,אורך,ז'אנר,שחקנים,תיקייה 
2178,http://www.torec.net/sub.asp?sub_id=5728,פארק היורה 3,2001,92 דקות,פעולה / הרפתקאות / פנטזיה / אימה / מדע בדיוני / מתח,סם ניל וויליאם ה. מייסי טיה לאוני אלסנדרו ניבולה טרבור מורגן מייקל ג'טר לורה דרן,movies/פארק היורה 3.txt
2179,http://www.torec.net/sub.asp?sub_id=29095,הרציחות בנהר,2011,93 דקות,מתח,ריי ליוטה כריסטיאן סלייטר,movies/הרציחות בנהר.txt
2180,http://www.torec.net/sub.asp?sub_id=11966,נקודת היעלמות,1971,96 דקות,פעולה / דרמה,בארי ניומן קליבון ליטל דין ג'אגר ויקטוריה מדלין,movies/נקודת היעלמות.txt
2181,http://www.torec.net/sub.asp?sub_id=28897,פנים בהמון,2011,97 דקות,אימה / מתח,מילה יובוביץ' שרה וויין קאליס ג'וליאן מקמהון מייקל שנקס סנדרין הולט,movies/פנים בהמון.txt
2182,http://www.torec.net/sub.asp?sub_id=29084,המועמד,2011,85 דקות,מתח / פעולה / פשע,ריי ליוטה ויקטור גרבר סטפן מק'האטי קווין זגרס טטיאנה מסלני דסטין מיליגאן דיבון בוסטיק לאורה ואנדרוורט,movies/המועמד.txt
2183,http://www.torec.net/sub.asp?sub_id=29082,לארי קראון,2011,99 דקות,דרמה / קומדיה,טום הנקס ג'וליה רוברטס ג'ון סדה סי ריצ'רדסון הולמס אוסבורן א'נוקה אוקוומה פאם גריאר בריאן קרנסטון,movies/לארי קראון.txt
2184,http://www.torec.net/sub.asp?sub_id=6580,תדר גבוה,2000,118 דקות,מתח / דרמה / מדע בדיוני,דניס קווייד ג'ים קאביזל אליזבת' מיטצ'ל שון דויל אנדרה בראואר נוח אמריך מליסה אריקו ג'ורדן ברידג'ס,movies/תדר גבוה.txt
2185,http://www.torec.net/sub.asp?sub_id=29074,בן של אף אחד,2011,90 דקות,מתח / פעולה / פשע,אל פאצ'ינו ג'ולייט בינוש ריי ליוטה קייטי הולמס ג'ייק צ'רי צ'אנינג טאטום טרייסי מורגן קרייג ווקר,movies/בן של אף אחד.txt
2186,http://www.torec.net/sub.asp?sub_id=29055,פלייפייפר (שוד משותף),2011,81 דקות,קומדיה / פשע,אשלי ג'אד פרויט טיילור ויינס פטריק דמפסי מקי פייפר ג'פרי טמבור טים בלייק נלסון קורטיס ארמסטרונג אוקטביה ספנצר,movies/פלייפייפר (שוד משותף).txt
2187,http://www.torec.net/sub.asp?sub_id=10206,בכוננות מתמדת,1991,105 דקות,פעולה / קומדיה,ברוס וויליס דיימון ווין הלי בארי טיילור נגרון,movies/בכוננות מתמדת.txt
2188,http://www.torec.net/sub.asp?sub_id=6014,סיילנט היל,2006,127 דקות,אימה / מתח,רדה מטשל שון בין לורי הולדן דבורה אונגר,movies/סיילנט היל.txt
2189,http://www.torec.net/sub.asp?sub_id=5693,בן-חור,1959,212 דקות,אקשן / דרמה / קלאסיקה,צ'רלטון הסטון ג'ק הוקינס סטפאן בויד,movies/בן-חור.txt
2190,http://www.torec.net/sub.asp?sub_id=29016,הסגת גבול,2011,91 דקות,פשע / דרמה / מתח,ניקול קידמן ניקולס קייג' דאש מיהוק ליאנה ליבראטו ירדנה ספירו קם גיגנדט,movies/הסגת גבול.txt
2191,http://www.torec.net/sub.asp?sub_id=29015,חיים טובים יותר,2011,98 דקות,דרמה,,movies/חיים טובים יותר.txt
2192,http://www.torec.net/sub.asp?sub_id=29017,ג'ף דנהם כאוס בשליטה,2011,92 דקות,קומדיה,ג'ף דנהם,movies/ג'ף דנהם כאוס בשליטה.txt
2193,http://www.torec.net/sub.asp?sub_id=1964,ספייס קאובויס,2000,130 דקות,"מדע בדיוני, הרפתקאות, קומדיה",קלינט איסטווד טומי לי ג'ונס דונאלד סאת'רלנד ג'יימס גארנר ג'יימס קרומוול מרשה גיי הארדן ג'יי לנו,movies/ספייס קאובויס.txt
2194,http://www.torec.net/sub.asp?sub_id=4834,עיר ליד הים,2002,108 דקות,מתח / דרמה / פעולה,רוברט דה-נירו פרנסס מק'דורמנד ג'יימס פרנקו אלייזה דושקו וויליאם פורסיית' פטי לופון אנסון מאונט ג'ון דומאן בריאן טרנטינה,movies/עיר ליד הים.txt
2195,http://www.torec.net/sub.asp?sub_id=14518,יום ראשון הראשון,2008,98 דקות,פשע / קומדיה,אייס קיוב קאט וויליאמס טרייסי מורגן לורטה דיויין מייקל ביץ' קית' דייויד רג'ינה הול,movies/יום ראשון הראשון.txt
2196,http://www.torec.net/sub.asp?sub_id=12352,הממלכה,2007,110 דקות,דרמה / מתח,ג'יימי פוקס ג'ניפר גרנר גייסון בייטמן כריס קופר ג'רמי פיבן אלי סולימן אורי גבריאל,movies/הממלכה.txt
2197,http://www.torec.net/sub.asp?sub_id=3604,חמקן,2005,121 דקות,הרפתקאות / מדע בדיוני / מתח / פעולה,ג'וש לוקאס ג'סיקה בייל ג'יימי פוקס סאם שפרד ריצ'רד רוקסברג ג'ו מורטון איאן בליס,movies/חמקן.txt
2198,http://www.torec.net/sub.asp?sub_id=5171,בית של תשעה,2005,86 דקות,מתח / מיסתורין / אימה,דניס הופר קלי ברוק היפוליט ג'ירארדו רפאלו דגורטולה אשר די סוזי איימי פיטר קפלדי ג'וליאן דייויס ג'ים קרטר,movies/בית של תשעה.txt
2199,http://www.torec.net/sub.asp?sub_id=4276,סיכון כפול,1999,105 דקות,דרמה / מתח,אשלי ג'אד טומי לי ג'ונס ברוס גרינווד אנבת' גיש רומה מפיה דבניה מק'פאדן,movies/סיכון כפול.txt
2200,http://www.torec.net/sub.asp?sub_id=1430,ארץ המתים,2005,93 דקות,מתח / אימה,סימון בייקר ג'ון לגוויזמו דניס הופר אסיה ארג'נטו רוברט גוי יוג'ין קלארק ג'ואן בולנד,movies/ארץ המתים.txt
2201,http://www.torec.net/sub.asp?sub_id=5420,לקחת חיים,2004,103 דקות,אימה / דרמה / מיסתורין / מתח / פשע,אנג'לינה ג'ולי אית'ן הוק קיפר סאת'רלנד ג'ינה רולנדס אוליביה מרטינז צ'אקי קאריו ג'ין-היוס אנגלד,movies/לקחת חיים.txt
2202,http://www.torec.net/sub.asp?sub_id=22512,שאטר איילנד,2010,148 דקות,דרמה / מיסתורין / מתח,ליאונרדו דקפריו מארק רופאלו בן קינגסלי אמילי מורטימר מישל וויליאמס מקס פון סידוב ג'קי ארל האלי,movies/שאטר איילנד.txt
2203,http://www.torec.net/sub.asp?sub_id=28996,סדקים,2009,104 דקות,דרמה / מתח / רומנטיקה,אווה גרין ג'ונו טמפל אימוגן פוטס,movies/סדקים.txt
2204,http://www.torec.net/sub.asp?sub_id=11767,כבשה שחורה,2006,87 דקות,קומדיה / אימה,נתן מייסטר דניאל מאסון פיטר פיניי תמי דיוויס גלניס לבנסתם טנדי רייט אוליבר דרייבר,movies/כבשה שחורה.txt
2205,http://www.torec.net/sub.asp?sub_id=1287,אפקט הרעם,2005,103 דקות,פעולה / הרפתקאות / מתח / מדע בדיוני,אדוארד ברנס קתרין מקורמק בן קינגסלי ג'ימימה רופר דיוויד אויילו,movies/אפקט הרעם.txt
2206,http://www.torec.net/sub.asp?sub_id=28980,אימפריית המתנקשים,2011,93 דקות,פעולה,מיו טס,movies/אימפריית המתנקשים.txt
2207,http://www.torec.net/sub.asp?sub_id=28990,טרי,2011,105 דקות,קומדיה,קריד בראטון דיאן סלינגר פרנסיסקו פדרסה טארה קארסיאן מלאני אברמוף אוליביה קרוקיצ'יה,movies/טרי.txt
2208,http://www.torec.net/sub.asp?sub_id=28410,איך להיפטר מהבוס,2011,98 דקות,קומדיה,ג'ניפר אניסטון ג'ייסון בייטמן ג'ייסון סודיקיס קולין פארל ג'יימי פוקס קווין ספייסי ג'ולי באוון,movies/איך להיפטר מהבוס.txt
2209,http://www.torec.net/sub.asp?sub_id=19084,חורף בזמן מלחמה,2008,103 דקות,דרמה / היסטוריה / מלחמה,מרטין לייקמאייר יוריק ווגנינגן ג'יימי קמפבל באואר ריימונד ט'ירי מלודי קלייבר אנקה בלוק טיגו גרנאדט,movies/חורף בזמן מלחמה.txt
2210,http://www.torec.net/sub.asp?sub_id=27736,קונג פו פנדה 2,2011,89 דקות,אנימציה / משפחה / פעולה / קומדיה,ג'ק בלאק אנג'לינה ג'ולי ג'קי צ'אן סת רוגן גארי אולדמן דסטין הופמן ז'אן קלוד ואן דאם לוסי לו מישל יו ג'יימס וודס דויד קרוס,movies/קונג פו פנדה 2.txt
2211,http://www.torec.net/sub.asp?sub_id=28976,המכשפות מארץ עוץ,2011, ,פעולה / קומדיה / פנטזיה,שון אוסטין בילי בויד ג'פרי קומבס בריאון דיוויס רוס דה גראו מונטי דומינגו ליז דאגלס רוס אדגר אשלי בליית' אלינגטון איתן אמברי לנס הנריקסון טיילר הולינג'ר בריאן לי הוין,movies/המכשפות מארץ עוץ.txt
2212,http://www.torec.net/sub.asp?sub_id=28960,נוכחות,2010,85 דקות,אימה / דרמה / מתח,מירה סורבינו טוני קוראן מוס וטסון דאובייה אופריי,movies/נוכחות.txt
2213,http://www.torec.net/sub.asp?sub_id=25860,טרון - המורשת,2010,127 דקות,הרפתקאות / מדע בדיוני / מתח / פעולה,דאגלס טאנפאל ג'ף ברידג'ס,movies/טרון - המורשת.txt
2214,http://www.torec.net/sub.asp?sub_id=11736,צדק עירוני,2007,95 דקות,פעולה,סטיבן סיגל אדי גריפין קירק בי.אר. וולר ליזל קרסטנס,movies/צדק עירוני.txt
2215,http://www.torec.net/sub.asp?sub_id=26615,מגה מוח,2010,96 דקות,קומדיה,בראד פיט וויל פארל ג'ונה היל טינה פיי,movies/מגה מוח.txt
2216,http://www.torec.net/sub.asp?sub_id=19696,שקרים ואשליות,2009,88 דקות,מתח / פעולה / קומדיה,כריסטיאן סלייטר קובה גודינג ג'וניור שרה אן שולץ כריסטה קמפבל רוברט גארדינה אל מדריגאל לוצ'לין מונרו,movies/שקרים ואשליות.txt
2217,http://www.torec.net/sub.asp?sub_id=28953,נהר הפרא,1994,108 דקות,הרפתקאות / מתח / פעולה,מריל סטריפ סטפני סוייר ג'וסף מזלו דיוויד סטארטיירן אליזבט הופמן ויקטור גלווי קווין בייקון,movies/נהר הפרא.txt
2218,http://www.torec.net/sub.asp?sub_id=24562,אמהות וילדים,2010,125 דקות,דרמה,אנט בנינג נעמי ווטס סמואל ל. ג'קסון קרי וושינגטון,movies/אמהות וילדים.txt
2219,http://www.torec.net/sub.asp?sub_id=21817,זה מסובך,2009,118 דקות,קומדיה / רומנטיקה,מריל סטריפ אלק בולדווין סטיב מרטין האנטר פאריש ריטה וילסון,movies/זה מסובך.txt
2220,http://www.torec.net/sub.asp?sub_id=28936,נשף סיום,2011,104 דקות,דרמה / קומדיה,איימי טיגרדן דה-ווהן ניקסון ג'ארד קונסניטז קמרון מונגן,movies/נשף סיום.txt
2221,http://www.torec.net/sub.asp?sub_id=22397,מזל תאומים,2009,88 דקות,משפחה / קומדיה,ג'ון טרבלוטה רובין וויליאמס סת' גרין ברני מאק מאט דילון קלי פרסטון,movies/מזל תאומים.txt
2222,http://www.torec.net/sub.asp?sub_id=2139,ארץ קרה,2005,126 דקות,דרמה,שרליז תרון פרנסס מקדורמנד סיסי ספייסק וודי הארלסון שון בין זנדר ברקלי בראד וויליאם הנקה מישל מונהאן אמבר הרד רסטי שווימר,movies/ארץ קרה.txt
2223,http://www.torec.net/sub.asp?sub_id=21206,נינג'ה 2009,2009,80 דקות,מתח / פעולה / פשע,סקוט אטקינס טסויושי לארה מיקה היג'י טוד יאנסן טוגו איווגה גריק הגון מיילס אנדרסון,movies/נינג'ה 2009.txt
2224,http://www.torec.net/sub.asp?sub_id=22316,תשע,2009,126 דקות,מוסיקלי / רומנטיקה,ניקול קידמן ג'ודי דנץ' מריון קוטיאר סטייסי פרגוסון דניאל דיי לואיס פנלופה קרוז קייט הדסון סופיה לורן,movies/תשע.txt
2225,http://www.torec.net/sub.asp?sub_id=25221,מציצת הערפדים,2010,82 דקות,קומדיה,צ'ארלי וובר כריס ריגי בקה קריין,movies/מציצת הערפדים.txt
2226,http://www.torec.net/sub.asp?sub_id=22524,יום האהבה,2010,90 דקות,קומדיה / רומנטיקה,ג'סיקה בייל אשטון קוצ`ר ג'וליה רוברטס ג'ניפר גארנר אמה רוברטס ג'סיקה אלבה אן התאווי ברדלי קופר טיילור לונטר,movies/יום האהבה.txt
2227,http://www.torec.net/sub.asp?sub_id=21757,תלוי באוויר,2009,109 דקות,דרמה / קומדיה / רומנטיקה,ג'ורג' קלוני ורה פרמיגה אנה קנדריק ג'ייסון בייטמן איימי מורטון מלאני לינסקי ג'יי. קיי. סיימונס סאם אליוט דני מקברייד כריס לוואל,movies/תלוי באוויר.txt
2228,http://www.torec.net/sub.asp?sub_id=19108,למעלה,2009,96 דקות,אנימציה / הרפתקאות / משפחה / פעולה,כריסטופר פלאמר אדוארד אסנר ג'ון רטזנברגר דלרוי לינדו פול איידינג ג'ורדון נגאי,movies/למעלה.txt
2229,http://www.torec.net/sub.asp?sub_id=23555,לא ייאמן (בלתי נתפס),2010,97 דקות,דרמה / מתח,מייקל שין סמואל ל ג'קסון ברנדון רות' קרי אן-מוס סטאפן רוט יארה שהידי מרטין דונובן,movies/לא ייאמן (בלתי נתפס).txt
2230,http://www.torec.net/sub.asp?sub_id=22214,המודיע,2009,108 דקות,דרמה / מתח / פשע / קומדיה,מאט דיימון מלאני לינסקי פרנק וולקר סקוט באקולה פאון אוסוולט ג'ו מק'הייל תומס וילסון,movies/המודיע.txt
2231,http://www.torec.net/sub.asp?sub_id=28927,שומר גן החיות,2011,102 דקות,קומדיה / משפחה / רומנטיקה,קווין ג'יימס רוסאריו דוסון לסלי ביב קן ג'ונג דוני וולברג ג'ו רוגן נאט פאקסון סטפיאנה דה לה קרוז ניק בקאי ג'קי סנדלר ניקולס טורטורו,movies/שומר גן החיות.txt
2232,http://www.torec.net/sub.asp?sub_id=25107,על כלבים וגנבים,1961,79 דקות,אנימציה / הרפתקאות / משפחה / מתח,רוד טיילור,movies/על כלבים וגנבים.txt
2233,http://www.torec.net/sub.asp?sub_id=28913,צלף על הכוונת,1997,99 דקות,מתח / פעולה,רוברט קוטקי קינן איבורי ווינס ג'ון וויט,movies/צלף על הכוונת.txt
2234,http://www.torec.net/sub.asp?sub_id=28850,חתולים אפריקאים,2011,89 דקות,דוקומנטרי / הרפתקאות,סמואל ל. ג'קסון,movies/חתולים אפריקאים.txt
2235,http://www.torec.net/sub.asp?sub_id=28891,קצת מגן-עדן,2011,106 דקות,דרמה / קומדיה / רומנטיקה,קטי בייטס קייט הדסון טריט וויליאמס פיטר דינלקייג' רומני מלכו לוסי פאנטש ג'ייסון דייויס וופי גולדברג,movies/קצת מגן-עדן.txt
2236,http://www.torec.net/sub.asp?sub_id=28878,כנסיית הפחד (מדינה אדומה),2011,97 דקות,אימה / מתח,מייקל אנגאראנו ניקולאס בראון קיילי דפר קייל גלנר,movies/כנסיית הפחד (מדינה אדומה).txt
2237,http://www.torec.net/sub.asp?sub_id=28874,הלהבה והחץ,1950,88 דקות,הרפתקאות / פעולה / רומנטיקה,בארט לנקסטר וירג'יניה מאיו רוברט דאגלס אלין מקמאון פרנק אלנבי ניק קראוט לין באגט,movies/הלהבה והחץ.txt
2238,http://www.torec.net/sub.asp?sub_id=28870,הסערה,2010,110 דקות,דרמה / פנטזיה / קומדיה / רומנטיקה,ריב קרני דיוויד סטארטיירן טום קונטי אלן קאמינג כריס קופר הלן מירן,movies/הסערה.txt
2239,http://www.torec.net/sub.asp?sub_id=28869,הכל צריך ללכת,2010,97 דקות,דרמה / קומדיה,סטאפן רוט לאורה דרן וויל פארל רבקה הול שאנון ווירי גלן הוורטון דניאל ד האלק ברנדון קיהל,movies/הכל צריך ללכת.txt
2240,http://www.torec.net/sub.asp?sub_id=28859,מר פופר והפינגווינים,2011,94 דקות,קומדיה,קרלה גוגינו ג'ים קארי פיליפ בייקר הול אנג'לה לאנסברי דומיניק קולון ג'יימס טופר דומיניק צ'יאניס פיטר קונבוי,movies/מר פופר והפינגווינים.txt
2241,http://www.torec.net/sub.asp?sub_id=28751,האוקיינוס הפראי,2008,45 דקות,דוקומנטרי,,movies/האוקיינוס הפראי.txt
2242,http://www.torec.net/sub.asp?sub_id=28844,אל תפחד מהחושך,2010,99 דקות,אימה / מתח,,movies/אל תפחד מהחושך.txt
2243,http://www.torec.net/sub.asp?sub_id=28837,כוח טקטי,2011,91 דקות,פעולה,סטיב אוסטין מייקל ג'יי וייט לקסה דויג מייקל שנקס דארן שחלבי קאנדס אלאיין אדריאן הולמס קית' ג'ארדין סטיב באסיק מייקל אקלונד פיטר קנט פיטר בריאנט,movies/כוח טקטי.txt
2244,http://www.torec.net/sub.asp?sub_id=28426,החיים היפים הסרט,2011,79 דקות,דרמה / מדע בדיוני / קומדיה,קול ספראוס דילאן ספראוס ברנדה סונג דבי ריאן ג'ון דוסי קייטלין םאטיסי קארה פסיטו,movies/החיים היפים הסרט.txt
2245,http://www.torec.net/sub.asp?sub_id=28819,אמנות בזבל,2010,99 דקות,דוקומנטרי,,movies/אמנות בזבל.txt
2246,http://www.torec.net/sub.asp?sub_id=24605,מצ'טה,2010,105 דקות,הרפתקאות / מתח / פעולה / פשע,דני טרגו מישל רודריגז ג'סיקה אלבה רוברט דה נירו לינדזי לוהן ציץ מרין ג'ף פאי סטיבן סיגל דון ג'ונסון,movies/מצ'טה.txt
2247,http://www.torec.net/sub.asp?sub_id=28456,מורה רעה,2011,92 דקות,קומדיה,קמרון דיאז לוסי פאנטש ג'ייסון סיגל ג'סטין טימברלייק פיליס סמית' ג'ון מייקל היגינס דייב אלן ג'יליאן ארמנאנטה מתיו ג. איוואנס קתרין ניוטון,movies/מורה רעה.txt
2248,http://www.torec.net/sub.asp?sub_id=28796,גן עדן כחול,1982,100 דקות,רומנטיקה / הרפתקאות / דרמה,פיאובי קייטס ווילי איימס טוביה טבי,movies/גן עדן כחול.txt
2249,http://www.torec.net/sub.asp?sub_id=28523,ווין ווין,2011,106 דקות,דרמה / קומדיה,פול ג'יאמאטי בובי קנווייל ג'פרי טמבור בארט יאנג מלאני לינסקי מרגו מרטינדייל,movies/ווין ווין.txt
2250,http://www.torec.net/sub.asp?sub_id=28237,קרקס קולומביה,2010,113 דקות,דרמה,מיקי מנוג'ולוביץ' מירה פורלן,movies/קרקס קולומביה.txt
2251,http://www.torec.net/sub.asp?sub_id=27319,האישה ששרה,2010,130 דקות,דרמה,,movies/האישה ששרה.txt
2252,http://www.torec.net/sub.asp?sub_id=28173,רובוטריקים 3 אפלת הירח,2011,157 דקות,הרפתקאות / מדע בדיוני / פעולה,שיה לה-בוף ג'ון מלקוביץ' ג'ון טרטורו פרנסיס מקדורמנד פטריק דמפסי רוזי האנטינגטון-וויטלי ג'וש דומהל טייריס גיבסון,movies/רובוטריקים 3 אפלת הירח.txt
2253,http://www.torec.net/sub.asp?sub_id=28552,חשופות,2010,112 דקות,דרמה,רייצ'ל ווייז ונסה רדגרייב מוניקה בלוצ'י דיוויד סטארטיירן ניקולאי לי קאס פאולה שראם אלכסנדר פוטוקין ויליאם הופ ג'ינט היין בנדיקט קומברבאטש דוויד הלאווט לוק טרידוואי,movies/חשופות.txt
2254,http://www.torec.net/sub.asp?sub_id=28747,מרלי ואנישנות הכלבלב,2011,86 דקות,משפחה / קומדיה,דונלי רודס מרילין גן צ'לה הורסדל סידני ימבאהו אלכס זהרה לי טוקאר,movies/מרלי ואנישנות הכלבלב.txt
2255,http://www.torec.net/sub.asp?sub_id=28736,קו אורך,2000,250 דקות,דרמה / היסטוריה,ג'רמי איירונס מייקל גמבון ג'ונתן קוי ג'מה ג'ונס ניג'ל דונפורט ג'ון נטלטון,movies/קו אורך.txt
2256,http://www.torec.net/sub.asp?sub_id=28734,סידר ראפידס,2011,87 דקות,קומדיה,אד הלמס ג'ון ס. ריילי אן הייש סטאפן רוט קורטווד סמית' אליס שאוקאט רוב קורדרי מייק אומלי סיגורני וויבר מייק בירביגליה סת' מוריס,movies/סידר ראפידס.txt
2257,http://www.torec.net/sub.asp?sub_id=28732,עץ החיים,2011,139 דקות,דרמה / מדע בדיוני / פנטזיה,מל גיבסון בראד פיט שון פן ג'סיקה צ'אסטין,movies/עץ החיים.txt
2258,http://www.torec.net/sub.asp?sub_id=28705,בייבי אריזונה,1987,94 דקות,הרפתקאות / מיסתורין / פעולה / פשע / קומדיה70/10,ניקולס קייג' הולי האנטר טריי ווילסון ג'ון גודמן וויליאם פורסייט סאם מקורי פרנסס מקדורמן,movies/בייבי אריזונה.txt
2259,http://www.torec.net/sub.asp?sub_id=28711,זמנים קשים בכלא,2004,95 דקות,דרמה / פעולה,בוריס קודג'ו מייקל וויליאמס סטיקי פינגז ריגן גומז-פרסטון ג'אזמין לואיס,movies/זמנים קשים בכלא.txt
2260,http://www.torec.net/sub.asp?sub_id=1884,שיווי משקל,2002,107 דקות,מתח / מדע בדיוני / פעולה,כריסטיאן בייל אמילי ווטסון טיי דיגס שון בין וויליאם פיצ'טנר דומיניק פורסל אנגוס מקפיידן,movies/שיווי משקל.txt
2261,http://www.torec.net/sub.asp?sub_id=28697,העסקן,2010,108 דקות,ביוגרפיה / דרמה / פשע / קומדיה,קווין ספייסי רות מרשל גרהאם גרין בארי פפר,movies/העסקן.txt
2262,http://www.torec.net/sub.asp?sub_id=28063,מים לפילים,2011,120 דקות,דרמה,רוברט פטינסון ריס ווית'רספון כריסטופר וולץ,movies/מים לפילים.txt
2263,http://www.torec.net/sub.asp?sub_id=7179,ספרה,1998,134 דקות,אימה / מתח / מדע בדיוני,דסטין הופמן שרון סטון סמואל ל. ג'קסון פיטר קויוטה ליב שריבר קווין לאטיפה מרגה גומז יוהי לואיס,movies/ספרה.txt
2264,http://www.torec.net/sub.asp?sub_id=5822,פקודה לא חוקית,2000,128 דקות,מתח / דרמה,טומי לי ג'ונס סמואל ל. ג'קסון גאי פירס בן קינגסלי ברוס גרינווד אן ארצ'ר בלייר אנדרווד פיליפ בייקר הול דייל דיי מארק פיורשטיין ניקי קאט ריאן הרסט דייויד גראף,movies/פקודה לא חוקית.txt
2265,http://www.torec.net/sub.asp?sub_id=28683,מלתעות הנקמה,1987,89 דקות,אימה / מתח,לוריין גארי לאנס גוסט מריו ואן פיבלס מייקל קיין קארן יאנג ג'ודית ברסי לין וויטפילד,movies/מלתעות הנקמה.txt
2266,http://www.torec.net/sub.asp?sub_id=28682,מלתעות 2,1978,116 דקות,אימה / מתח,רוי שיידר לוריין גארי מוראי המילטון ג'וזף מסקולו ג'פרי קרמר קולין ווילקוקס פקסטון אן דאסנברי,movies/מלתעות 2.txt
2267,http://www.torec.net/sub.asp?sub_id=28681,מלתעות 3,1983,99 דקות,אימה / מתח,דניס קוויד בס ארמסטרונג סימון מק'קורקינדייל לואיס גוסט ג'וניור ג'ון פץ' לי תומפסון פי איץ' מוריארטי,movies/מלתעות 3.txt
2268,http://www.torec.net/sub.asp?sub_id=22355,מתנקש הנינג'ה,2009,99 דקות,דרמה / מתח / פעולה / פשע,אנדי וואשובסקי לארי וושווסקי ג' מייקל סטראצ'ינסקי Matthew Sand,movies/מתנקש הנינג'ה.txt
2269,http://www.torec.net/sub.asp?sub_id=28672,גדולים מכדי להיכשל,2011, ,דרמה,טוני שאלוב ג'ואי סלוטניק בילי קרודאפ קייטי בייקר דן הדייה ג'יימס וודס מת'יו מודין,movies/גדולים מכדי להיכשל.txt
2270,http://www.torec.net/sub.asp?sub_id=28639,משחקי התנקשות,2011,101 דקות,פעולה / מתח,ז'אן-קלוד ואן דאם סקוט אטקינס קווין צ'פמן,movies/משחקי התנקשות.txt
2271,http://www.torec.net/sub.asp?sub_id=28660,מלכודת,2011,90 דקות,פעולה / פשע / דרמה,ברוס וויליס ריאן פיליפ ג'יימס רימר פיפטי סנט וויל יון לי שון טאוב,movies/מלכודת.txt
2272,http://www.torec.net/sub.asp?sub_id=28668,החבובות הקוסם מארץ עוץ,2005,120 דקות,הרפתקאות / מוזיקלי / משפחה / פנטזיה / קומדיה,אשאנטי סטיב וויטמור ביל ברטה,movies/החבובות הקוסם מארץ עוץ.txt
2273,http://www.torec.net/sub.asp?sub_id=27820,האנה,2011,111 דקות,הרפתקאות / מתח / פעולה,קייט בלנשט אריק באנה סאוירס רונן אוליביה וויליאמס טום הולנדר ג'ייסון פלמינד,movies/האנה.txt
2274,http://www.torec.net/sub.asp?sub_id=6155,הנמלט מת מצחוק,1998,87 דקות,קומדיה / פארודיה / פעולה,לסלי נילסן ריצ'רד קרנה קלי לאברוק מלינדה מקגרו מייקל יורק סנדרה ברנהרד בנג'מין ראטנר ג'רארד פלנקט,movies/הנמלט מת מצחוק.txt
2275,http://www.torec.net/sub.asp?sub_id=28650,לעולם אל תיכנע 2,2011,95 דקות,פעולה,סטייסי אסרו גראלנד בריאנט בנקס ראס בלקוול,movies/לעולם אל תיכנע 2.txt
2276,http://www.torec.net/sub.asp?sub_id=28140,מסיבת רווקות,2011,125 דקות,קומדיה,קריסטן וויג רוז בירן ג'יל קלייבורג ג'וני יונג בוסץ' מיטש סילפה ונדי מקלנדון-קוביי,movies/מסיבת רווקות.txt
2277,http://www.torec.net/sub.asp?sub_id=20219,גיימר,2009,95 דקות,מדע בדיוני / מתח / פעולה,ג'רארד באטלר מיילו ונטימיליה מייקל ק הול ג'ון לגויזמו אמבר ולאטה אארון יאו אליסון לומן,movies/גיימר.txt
2278,http://www.torec.net/sub.asp?sub_id=2397,קונן המשמיד,1984,103 דקות,פעולה / הרפתקאות / פנטזיה,ארנולד שוורצנגר גרייס ג'ונס וילט צ'מברליין מאקו,movies/קונן המשמיד.txt
2279,http://www.torec.net/sub.asp?sub_id=28645,סאנשיין,1999,181 דקות,דרמה / היסטוריה / מלחמה / רומנטיקה,ג'ניפר הייל רוזמארי האריס ג'ניפר הייל,movies/סאנשיין.txt
2280,http://www.torec.net/sub.asp?sub_id=28631,המשלחת של מיק,2010,104 דקות,מערבון,מישל וויליאמס ברוס גרינווד ויל פאטון זואי קאזאן פול דנו שירלי הנדרסון ניל האף,movies/המשלחת של מיק.txt
2281,http://www.torec.net/sub.asp?sub_id=28635,השכונה VS חייזרים,2011,88 דקות,פעולה / קומדיה / מדע בדיוני,ניק פרוסט ג'ודי וויטאקר לוק טרידוואי ג'וי אנשה אלכס אסמילי כריס ווילסון פלמיניה סינקה לי ניקולאס האריס,movies/השכונה VS חייזרים.txt
2282,http://www.torec.net/sub.asp?sub_id=28628,כיפה אדומה סוגרת חשבון,2010,86 דקות,אנימציה / משפחה / קומדיה,היידן פנטייר גלן קלוז צ'ייץ' מארין אנדי דיק ג'ואן קיוזאק בראד גארט דיוויד אוגדן סטרס פטריק וורברטון,movies/כיפה אדומה סוגרת חשבון.txt
2283,http://www.torec.net/sub.asp?sub_id=2213,חייל קטלני,1998, ,מדע בדיוני / פעולה,קורט ראסל ג'ייסון סקוט לי קוני נילסן מייקל צ'יקליס,movies/חייל קטלני.txt
2284,http://www.torec.net/sub.asp?sub_id=28629,"אהבה, חתונה ונישואין",2011,86 דקות,קומדיה,מנדי מור קלן לוץ ג'סיקה סזוהר ג'ין סימור ג'יימס ברולין מוניקה אקוסטה מייקל ווטסון ג'ו צ'רסט שרה ליבינג ריצ'ארד ריד מייקל אראט דין ג'יי. ווסט מייקל שאוורס,"movies/אהבה, חתונה ונישואין.txt"
2285,http://www.torec.net/sub.asp?sub_id=27539,מיקמקס,2009,105 דקות,פשע / קומדיה  / זר (צרפתית),ז'אן פייר ג'אנט,movies/מיקמקס.txt
