מסמך,גודל
4309,98
1949,166
4229,83
2007,51
4260,153
902,141
903,111
900,66
901,34
906,48
907,162
904,77
905,136
1843,68
1511,108
908,90
909,70
1847,101
1846,95
1845,56
1844,39
4308,126
3250,88
4958,58
4623,87
2169,119
2168,82
3251,106
2165,118
2164,120
2167,80
2166,73
2161,89
2160,63
2163,200
2162,79
2617,62
2616,67
2615,163
2614,96
2613,32
2612,68
2611,45
2610,88
3254,151
4540,80
4627,184
2619,49
1947,80
4718,114
4541,161
4083,144
3298,105
3256,153
1908,112
1909,112
1906,70
1907,134
1904,81
1905,123
1902,172
1903,109
1900,125
1901,72
854,81
855,113
856,164
857,121
850,54
851,43
852,77
853,83
3458,52
3459,137
858,69
859,37
3293,63
4088,166
4455,40
6,84
2463,26
4546,220
4914,144
4428,189
4813,104
3864,99
4589,107
4915,83
4571,102
4588,208
4912,223
740,78
741,51
742,49
743,49
744,60
745,85
746,91
747,62
748,72
749,14
2912,107
3063,83
3062,117
3061,98
1798,57
3067,151
3066,18
2949,59
2948,193
2947,42
2946,159
2945,116
2944,85
2943,100
2942,94
2941,109
2940,29
1050,68
1051,20
1052,64
1053,72
1054,93
1055,79
1056,78
1057,68
1058,61
1059,37
2917,77
1696,146
1697,62
1694,37
1695,145
1692,43
1693,131
1690,68
1691,104
4272,156
2595,93
1791,59
1698,59
1699,109
1278,64
1279,54
618,59
619,101
4314,70
4315,81
4316,112
4317,71
612,53
613,108
610,67
611,81
616,125
617,103
614,78
615,96
1795,68
4911,106
4429,226
1794,66
3333,62
4816,55
3119,87
1491,49
3117,69
3116,44
3115,90
3114,35
3113,30
3112,80
2469,264
3110,82
1472,122
1473,103
1470,66
1471,73
1476,94
1477,128
1474,80
1475,121
3337,102
1478,53
1479,77
3336,109
1304,76
1305,101
1306,81
1307,153
1300,112
1301,95
1302,116
1303,107
1497,126
1308,51
1309,105
3308,31
3590,79
498,73
499,13
3280,105
494,64
495,90
496,67
497,55
490,110
491,74
492,16
493,55
24,79
25,97
26,97
27,80
20,115
21,106
22,38
23,178
3732,107
2593,89
28,117
29,52
4311,75
3262,86
4467,70
3939,149
3938,160
4415,63
3935,74
3934,32
3937,61
3936,83
3931,127
3930,128
3933,78
2599,147
1703,118
3265,132
4138,58
