מילה,מספר מופעים<- מספר סידורי
אקרמן,1771->2,2325->2,2130->1,1714->2,4017->2,2707->2,3504->2,4142->2,2109->2,4237->2,1884->2,293->2,3710->2
וססגוניים,3147->1
כנוכל,4133->1
בייקון,2474->2,2217->3,3883->2,4267->2,2433->4,1289->2,3493->2,1963->1,3445->3,382->2,2392->2,1389->2,1889->2,2368->2,3566->2,4321->3,3312->2,4782->2,1900->1,480->2
הושקעה,3621->1
בייקום,2419->1,2053->1
שיוצאת,3773->1,1315->1,4825->1,878->1,2487->1,4536->1,4454->1,2619->1,4225->1,1929->1
דייגו,1085->1,3477->1,1771->2,1301->2,992->2,1262->2,1724->1,2456->2,4660->1,4678->1,1962->3,1104->1,3855->2,1865->2,2032->2,4320->2,3852->4,2479->3
פנטסטיים,744->1
דת,2331->1,1320->1,970->1,629->1,2890->1,4777->1,4570->1,4606->1,1403->1,4786->1,4864->1
המוכחת,3997->1
דר,2554->2,4696->2,1942->2,4735->6,3061->1,1346->2,1090->2,2156->2,2672->2,3324->2,4385->2,811->2,4603->1,4588->1
שישלוט,761->1
דף,2183->1,4094->2,4141->1,4005->1,3954->1,2118->1,186->1,1953->1,3702->1,2366->2,3054->1,4545->3,3313->1,804->2
ומשקפיים,4456->1
טסוקאמוטו,553->2
האמינה,4192->1,3733->2,3705->1
פרלנד,1789->2,4931->2,3394->2,332->2
טצויה,553->2
השמש,2710->1,2565->1,2909->1,552->1,4229->3,4614->2,4781->2,2882->1,44->1,4413->1,3362->1,732->1,1529->2,1234->1,449->2,779->1,1331->1,1796->2,4779->1,4878->1,2414->2,2166->1
דפ,4080->2,4260->4,2866->2,2470->2,2868->4,4135->3,3583->2,3324->2,4473->2,4028->3,4828->4,4512->2,4048->4,4981->3,1754->3,1753->3,913->3,631->2,996->2,78->2,2448->1,3743->3,567->3,1916->3,1291->3,907->2,911->3,908->2,3548->3,2313->3,2518->5,3894->3,2698->1,2515->3,680->2,1764->4
השמח,4801->1,1507->1
להשתיק,1474->1,1567->1
די,2476->2,606->2,4264->2,3902->4,4328->2,3254->2,707->2,4530->2,984->2,4675->2,3855->2,4123->2,4766->1,2198->2,138->1,4439->1,3163->1,1630->1,3215->2,1938->1,3857->2,876->2,2224->1,2485->2,28->1,1778->2,3362->1,41->2,323->1,1113->1,3194->1,4985->2,507->2,1753->2,2362->2,3438->3,2922->1,2625->1,2603->1,4335->1,3919->2,4534->2,4741->1,382->2,2203->1,1950->1,71->2,2079->1,4467->2,225->1,167->1,2974->2,4234->2,1608->1,4308->3,58->3,1188->1,1727->1,4385->2,4523->1,3469->1,3796->1,2069->3,2109->1,1534->1,947->1,2374->2,3841->1,435->1,3797->1
מחוטפים,1603->1
דן,3714->2,2863->2,4305->2,3750->1,2856->2,1329->2,4185->2,576->2,2655->2,4134->2,2097->2,3716->2,4709->2,4576->2,3538->2,3572->2,2806->2,171->1,3660->2,692->2,3259->2,4947->2,27->2,2782->2,4382->2,44->1,4904->2,3793->2,1736->2,2667->2,2269->2,1443->2,187->1,916->1,2417->2,1404->2,797->2,3582->2,895->2,2445->3,3623->2,2645->1,2703->1,1318->2,3319->3,3076->1,4856->2,4801->1,2647->3,4461->1,3891->2,1640->1,2337->2,3500->2,3013->2,4666->2,2495->2,4059->2,3110->2,1532->2,1531->2,4483->1,1572->2,3909->2,2356->3,1112->2,2758->3
לשכנעו,2784->1
דם,1322->1,3905->1,2612->1,4305->1,3949->2,2771->1,3909->1,1264->2,133->1,3535->1,2949->1,3738->1,176->1,2826->1,3042->1,4800->1,830->1,3297->1,4287->1,4677->1,3238->1,3361->2,1070->2,1117->2,1406->1,2039->1,777->2,2580->1,2855->1,2123->2,1333->1,3877->1,3526->1,1932->1,4164->1,1936->1,4370->1,248->1,1881->4,3176->1,869->3,1041->2,1829->1,4936->1,2993->1,1820->1,1681->1,2398->1,4566->1
למאפיה,47->1,2761->1,4120->1,1252->1,4529->1
השמן,335->1,3542->1
דג,1631->1,2347->2,152->1,2899->1,4052->1,2303->1,336->1,330->1,2567->1,4481->2,4635->1,2914->2,4951->2
דב,1349->1,4210->3,1311->2,596->2,31->1,2655->2,1196->1,3178->1,4651->2,2682->1,544->2,4764->1,2790->2,4439->1,2354->1,2795->1
מסתיר,2288->1,3544->1,2735->1,1940->1,4718->1,4494->1,3853->1,2367->1
מיאזאקי,2431->1,4894->1,3369->1,4157->2
סנגסטר,3220->2
דו,3466->1,3494->2,670->1,576->1,2765->1,3792->3,661->3,4483->2,3296->2,1671->2,4723->1
דה,216->3,1146->2,4239->2,1781->3,2841->2,4026->1,4025->2,2093->1,3079->2,4578->1,3655->1,139->1,2099->3,2098->2,3418->2,3554->2,4700->1,3721->3,2150->2,2403->3,1377->2,2245->1,2246->2,4864->2,1019->3,2460->1,993->1,3481->2,1790->2,2856->2,121->2,3407->4,4966->2,4171->2,1824->2,1063->1,4647->1,2068->1,2395->3,2392->2,2559->2,2060->2,297->3,4976->2,375->2,1381->2,822->2,3773->3,3771->4,318->1,2473->1,2472->2,196->4,4655->2,88->2,276->2,4559->2,414->2,2787->2,3024->2,2986->2,2172->2,1525->2,4495->1,1252->3,918->2,2386->1,4480->1,1400->2,1338->2,4198->2,3662->1,2933->2,371->2,4748->2,3983->2,4813->2,4505->2,787->2,2691->3,3397->2,3909->2,4423->4,909->2,1245->2,1108->3,1926->3,2594->3,2661->2,2614->4,3618->2,1341->1,4183->2,330->1,1900->1,3907->2,4109->2,2803->2,3296->2,3162->3,171->2,2638->4,4061->2,1981->2,2561->2,1428->2,3515->3,2688->2,500->2,2429->2,1123->2,634->1,754->2,1354->2,1595->2,1862->2,165->3,94->1,3462->3,10->2,2211->2,3449->1,1994->2,860->2,4833->2,4076->2,2082->4,3960->2,2105->2,4365->4,2736->2,30->1,886->2,1201->2,3633->1,3968->2,1896->1,4615->2,3069->2,3776->2,2137->2,2347->2,4810->2,874->2,4516->2,3102->2,1111->4,3970->3,2034->2,2033->2,1693->1,4595->2,1293->2,1752->1,4259->2,4922->2,898->2,611->2,4254->2,3355->3,3984->1,4506->1,4501->1,4399->2,3547->2,4668->2,2231->2,3548->2,1606->2,1475->4,1573->2,1570->2,2535->2
46,4007->1
קרציה,4519->1
חמוץ,1258->1
ג'וסטין,3034->1
חמור,4715->2,1077->1,3403->1,3006->1,3410->1,3648->1,2800->1
הומוסקסואלית,4963->1
בדבלין,181->1,1759->1,719->1,1947->1
העצם,685->1,2731->2
חלבונים,862->1
יצילו,4156->1,3945->1
וחום,4747->1,1847->1
תמצאו,2404->1,3473->1
ואסונות,3484->1
מהירים,4013->1,2450->1,2813->1
יחצה,2027->1
מהמר-לשעבר,3078->1
מאיארה,1258->2
איראנית,3301->1
מנשקת,3392->1,969->1
יחצן,3104->1
יחזירו,1501->1
הקבועות,3647->1
וחוש,2996->1,1889->1
האנוש,2345->1,3902->1,2053->2,3748->1,2273->1,1270->1,874->1,4380->1,956->1,3854->1,243->1,2419->2,3529->1,1415->1,3279->1
שג'ס,3002->1
וטוב,4062->1,4429->1,59->1,558->1,3838->1,325->1,96->1
פבריזי,1608->2
וטום,753->1,1877->1,1364->2,432->1,2354->1
והגיבורה,514->1
בניאר,1248->2
שאורכה,1230->1
כשאבי,656->1
מוטולה,3647->2
הרדנרים,159->1
אפיסיט,1629->2
בחלונות,1588->1,3356->1,2187->1
טאגליוני,1713->2
דינמיט,4442->2
מציאת,2586->1,4669->1,3234->1,2845->1,1607->1,3197->1,3077->1,4488->1
סאנדיי,3528->1
בסטפני,1953->1
ג''ק,4820->2
גצוהי,1717->2
ועצם,830->1,3361->2,1398->3
לסכנות,3842->1,2933->1
הסכרים,4560->1
הפרטי,1493->1,776->1,4530->1,1374->1
מציאג,1373->2
ומטונף,2639->1
מחייו,2429->1,1799->1,4095->1,1271->1,3425->1,4191->1,3178->1,3133->1,3406->1,1676->1,3651->1,935->1
ועצב,2017->1,446->1
המתקן,632->1,1649->1,172->1,3168->1,1719->1
בפיתוח,1909->1
שישבה,2086->1
שארלוט,472->2,699->2,4050->1
יבוא,666->1,4801->1
שקאר,1124->1
דחוסה,950->1
למק'אפרי,3888->1
לבובות,3673->1
יחפש,1583->1,3375->1
הקפוארה,4946->1
ולסטו,326->2,1309->2
קריצלאו,3855->2,871->2
מחבל,3931->1,819->1,2011->1
זהויות,838->1,3987->1
בחנו,3196->1
כשהמסע,4224->1
בגחמתו,1199->1
ונטימיליה,1990->2,2277->2,3172->2,3390->2,2838->2,1396->2,1400->2,528->2
שאנה,4419->2,3105->1,197->1,3328->1,74->2,1465->2
טרינטיגנאנט,1540->2
השיחיות,4000->1
מפתחות,610->1
לדגל,518->1,2013->1
החיות,4282->4,3668->1,2578->1,4678->1,2231->7,4937->1,3218->1,2700->4,1971->1,1963->2,245->3,3618->1,333->1,4966->2,4554->1,2926->2,4581->1,1767->2,4430->1
יאנוצ'י,2970->1
ג'ארד,4442->1,1415->1,1377->1,1961->1
והתמודדותו,4584->1
והתמודדותה,4872->1
לדגר,785->2,3470->2,44->2,3531->2,3324->2,4500->2
דרומי,4417->1,4328->1,917->1
לטיני-אמריקאי,81->1
נפצעים,2822->1
פארלי,2551->1,2397->1,1748->2,4654->2,2319->1
החיוך,640->1,3150->1,3222->1
בורם,3603->3,1422->2,2828->2
החובות,1865->1,1300->1,3118->1
בגלקסיית,3231->1
דרומה,1645->1,2816->1,1750->1,3516->1,1134->1
התגרשו,3644->1,3968->1
מחבר,4811->1,2716->1,451->1,2706->1,2479->1,1459->1,1445->1,1591->1,3793->1,424->1
אבדללה,3651->2
הלורד,1802->1,3441->1,4397->1,4775->1,3262->1,95->1
השותפההיפיפיה,1842->1
בורט,322->2,591->2,2768->2
פיורפוי,182->2,1928->2,777->2,2405->2
להישתתף,2483->1
לאומי,1235->1,2591->1,1998->1,3010->1,3851->1,3888->1,4939->4,3536->1,69->2,2398->1,1802->1
פובליציסט,85->1
סוטירוב,1149->2
להתכחש,3332->1
אנוס,1509->2,1343->2,4209->2,781->2,4220->2
La,4052->1
ידביקו,4273->1
מגלגלת,3476->1,2253->1
והמחלוקות,3561->1
Prison,2769->1
אנוש,2726->1,2053->1,4380->1,3369->1,1540->1,2928->1,1131->1,45->1,2855->1,662->1,3174->1,2294->1,345->1,4258->1,2419->1,2651->4,2065->1,2039->1,3380->1
המבעית,1581->1
האמון,2756->1,280->2,3525->1,4003->1
וצ'אפי,596->1
היטיב,4064->1,3954->1
והסגן,3929->1
סן-פרנסיסקו,4602->1
תקשורים,807->1
טמבקיס,2097->2,3887->2
''חבר'',147->1
פורצות,4070->1
שסם,3831->1
לטרגדיה,4584->1,363->1
וארוחות,126->1
והאימתנית,2867->1
האיסמן,4061->2
הפיג'מות,4238->1
בחסותו,119->1
שלנו,705->1,3800->2,133->1,4433->1,3163->1,4691->1,2326->3,44->1,1779->1,4232->1,1110->1,346->2,2869->1,3941->1,1234->4,2443->1,2703->1,4503->2,4233->1,3138->1,96->1,1995->1,4735->1,4406->2,862->2,2671->1,2020->1,2258->1,2374->2,2148->1,2162->1
מסתכל,4575->1
באלקטרז,4018->1
בורג,2785->2,2304->1
מהג'ונגל,272->1
דייאן,2166->2
באמיטוויל,4113->1
אדרמן,3373->2
חדשותית,1104->1
קרווס,1212->2,4810->2,985->2
אחר-חצות,4703->1
במעלות,4157->1
היציבה,1444->1
המגדלים,2929->1,551->1,1764->1
הראשיים:,2255->1
המתכונן,4884->1
גילפורד,3236->2,1092->2,3250->2,877->2,1487->2,4118->2
wrong,1672->1
נחתך,3056->1
לבניין,2916->1,2885->1,1852->1,4441->1,3351->1,3994->1
ונחטף,4302->1
מודגש,4207->1
הביצועי-מנהלי,3371->1
וויטפורד,1824->2
בבולטימור,4669->1,1866->1
נחתה,2263->1
ובשלטון,1072->1,1486->1
נקמתו,1226->1,2961->2,2653->2,1132->1,2772->1,4479->1,2833->2,3818->1
מנטלית,4697->1
שמטעין,2691->1
התשעים,3254->1,1139->1,955->1,2522->1
רואיידרי,4004->2
אולימפי,910->1,791->1
נקמתם,4056->1,2941->1
ואלימות,2648->1,3506->1,4671->1,3573->1,1779->1,943->1,3344->1,2087->1,1477->1,2063->1,2029->1,516->1
אליזבת:,2789->1
וקסם,3746->1,3570->1
ממחישים,4150->1
שהחזיק,2189->1,4638->1,2087->1
המודיעים,4709->1
ומסתורים,3785->1
קרוון,4089->1,2167->2,2404->2,2612->2
התשוקה,3084->1,835->1,1781->1,772->1,1973->1,2425->1,123->1,2379->2,178->1,8->1,4205->1,4462->1,4972->1,1878->2,3301->1
פרנאסוס,3324->3
ונגרוב,2043->2
ליוקרתית,3014->1
בעובדה,794->1
ולסמל,715->1
'ציון'מתוגברבאזרחים,1136->1
מחילה,4056->2,3375->1,3517->1,2948->1
הפנה,3258->1
שיכורים,2606->1,4717->1,3313->1
מבונקר,206->1
במנהיג,2477->1,2603->1
המשתנים,1334->1,4956->1,162->1
כתבים,1395->1
והושאר,287->1
מסרי,279->1
מסרט,3294->1,1432->1,3021->1,4577->1
אברומיט,4497->2
שקמו,23->1
מסרב,3031->2,2953->1,1642->1,884->1,705->1,134->1,4017->1,954->1,3021->1,710->1,727->1,4209->1,1363->1,464->1,920->1,1196->1,1564->1,4829->1,1390->1
הפנר,3926->2
ולצד,4509->1
מחילת,2631->2
המדעיות,696->1,3844->1
תעזוב,2972->1,3978->1,3248->1
ראסוק,583->2
'בארץ,1881->2
שהקללה,1745->1
ובכוונתו,1461->1,4689->1
מכללה,3224->1,1692->1
שהמנזר,2305->1
נורתמן,70->2
מציגה,2118->1,215->1,595->1,553->1,1502->1,973->1,106->1
פולאנקו,3545->2,4216->2
ג`דיי,1045->1
קלוקלת,1028->1,3828->1
לפופולריות,4777->1
אסמילי,2281->2
יוותרו,3760->1,4069->1,3349->1
שמתוסכלים,2509->1
בווארשה,2589->1
מתעלמים,4723->1
צלו,3014->2
שהשלטונות,1302->1
והחשובות,244->1
מוצב,3277->1,2610->1,3845->2,4207->1,1813->1
בבאלי,2858->1
המרחבים,1955->1
blue-screen,4256->1
ראפלו,2924->2
וטיעונים,4092->1
מסייעות,4577->1
העזה,1085->1,3913->2,3255->1,3021->1,1685->1,2893->1,3897->1
והצוות,2288->1,45->1,1967->1,1578->1
פוסט-פמיניסטית,119->1
בקאריביים,2587->1
בהארווארד,1110->1
היבוריה,2074->1
דינוזאורים,2205->2,3821->1,45->1,3362->1,1134->5,342->2,820->1
קורדן,680->1,926->2
קורדל,4492->1
כמייצגיו,3771->1
ברפואה,1737->1
Inch,4636->1
ועסק,2098->1
ממינים,1194->1
בסופרמן,190->1
דאונינג,3408->1
באותם,2301->1,3733->1,3800->1
לפעילות,3699->1,1802->1,108->1,403->1,1758->1,2790->1
Hentaimanהמלצת,4257->1
המוסכניק,4243->1
העדינה,4966->1
ראייט,4547->2,4504->2,2001->2,3652->2,2116->2
ולהילחם,1212->1,1624->1,3104->1,270->1,2673->1,3852->1,3407->1,409->1
השחיתות,3672->1,4628->2,4902->1,972->1,3031->1
ומפחדת,3360->1,2311->1
טאון,3665->1,4091->2,4306->2,36->2,1918->1,3356->1
בריו-דה-ז'ניירועיר,3407->1
לגבהים,1780->1
לתנ''ך,939->1
כסגן,3645->2
בתחנה,88->1,839->1,2033->1,2633->1,3002->1
הודג'ס,2264->1
לוויטה,2751->2
קסאבה,4439->2
לנפילים,3861->1
האשמה,1402->1,1246->1,4871->1,660->1
במעמקיה,2960->1
וקאטי,1495->1
מארטן,3186->2
החומס,2795->1
מסגרייב,4066->2
מכריח,3287->1,1051->1,4641->1,1441->1
מכריז,3835->1,2833->1,3790->1,2039->1
אקרטז,4187->2
גרזן,923->1
לקבוצה,905->1,4131->1,4426->1,1696->1,4115->2,4224->1,4225->1
הסיוף,2518->1
שיעלה,4848->1
בכלוב,4109->1
לקבוצת,2477->1,4283->1,3936->1,1555->1,71->1,1995->1,310->1,577->1,415->1,4061->1,476->1,2249->1,113->1,1929->1,81->1
בנקישת,2303->1
ומקנזי,235->1
מחשמלת,2757->1,2217->1
פלרטטניות,1889->1
מתעמעם,3550->1
מכריע,3916->1,676->1,3831->1,4342->1
הנמצאת,1358->1,2127->1,3860->1,2077->1,2845->1,3742->1,4126->1,4411->1,1919->1,4965->1,3283->1,4957->1,4842->1
וחינניותה,338->1
בשיטתיות,1367->1,1328->1,118->1
ההונגרי-סלובאקי,3705->1
בתחנת,4282->1,2902->1,1544->1,4948->1,4404->1,3398->1,3692->1,839->1,4822->1,3800->1,457->1,121->1,1245->1,3002->1,4545->1
הסובבים,4428->1,2870->1,1144->1,1996->1,1977->1,2380->1,4077->1,2939->1,551->1,4719->1,3269->1,2025->1,4765->1,3344->1,3353->1,4036->1,2947->1,4502->1,529->1,4374->1,3529->1
לרמן,997->2,2043->2,746->2,4013->1,1266->2,3261->2,4095->2,2793->2,4461->2
ולערבב,4450->1
משחררת,2827->1,1968->1,1947->1,1405->1,233->1
לכדוה,37->1,2387->1
המסייעת,4009->1
וטורף,2870->1
האוסטרלי,4083->1,3900->1,4013->1,1827->1,2700->1,3737->1,2402->1,3085->1,3291->1
שהממסד,4109->1
רדפילד,2824->1,3563->2,4640->2
מעגל,3603->1,1223->3,1733->1,3687->1,99->1,3844->1,4538->2,139->1,4223->1
חופים,4334->3,1810->1
ג`ייק,4575->3
ומכאן,3524->1,4335->1,3535->1,4716->1,3766->1
הכספים,555->1,2748->1,4411->1
קוטון,4154->2
חופיה,2402->1,2304->1
מאמץ,3760->1,2938->1,695->1,2641->1,112->1,1720->1,4887->1,1456->1,1889->1,1592->1
לחתור,3301->1
מאמי,654->2
בסוניה,1865->1
מאמן,883->1,4492->1,2768->1,3816->1,3237->1,971->1,3542->1,2738->1,3754->1,4385->1,4660->1,724->1,2979->1,2249->1,4646->1,166->1,1563->1,2821->1,2399->1
מאמא,1622->2,2489->2,1132->1,981->1,4448->2,103->4
ומתחרים,4763->1
פיו,2514->1,1824->1,1779->1,4588->1,4185->1
מאמה,4211->2,3118->1,3026->1,3820->1,1737->1,1494->2,4136->1,1249->1,2530->1
עוטפים,3623->1
הושקעו,3621->1
והכתבת,3888->1
לאוטנר,2072->2,1571->2
לכדור,4093->2,214->1,3639->1,4523->1,2294->1,3250->1,4414->1,3695->1,2263->1,2503->2,2010->2,2727->1,2443->1,1352->1,2934->1,3262->1,3645->1,3727->1,937->1,4426->1,4135->1,4403->1,2020->1
חנויות,1315->1,3645->1
להתנסות,4594->1
מייסדי,825->1
כשתראי,1694->2
ברמזים,3586->1
סלטון,726->2,1609->1
שהעניים,2059->1
גורגנסן,4975->2
מירוצים,4890->1,3024->1,515->1
השר,2112->1,4447->2
גיקובס,3437->2
ומצור,3124->1
ויוליה,4013->2,899->1,2423->1,2560->2
שטיין,4061->1,4184->3
תחושת,2525->1,12->1,143->1,4054->1,4750->1,2218->1,3062->1,75->1,2382->1,1673->1
וורדן,4284->1,3496->2,2487->2,4739->1,3221->2,4143->2,4989->2,4809->2,2947->2
שטופלה,4725->1
תחושה,1077->1,653->1,2807->2
כשהרקעים,2072->1
אספילאגה,2652->2
שבפשטידות,4828->1
נרימייה,4943->2
הורנבי,1860->2,986->1,2397->1
מהקיץ,739->1
וכוחניים,4380->1
רוצחות,86->1
לפגישתן,2699->1
274,2460->1
מרימנטה,522->2
ונכסיו,1205->1
זינוקי,2241->1
בסיוע,777->1,3201->1,412->1,3296->1
הוגאן,3580->2,2784->2,1835->2
ירוקה,4026->1,2331->1,237->1,4137->1,2391->3
סינטרה,4931->1,4739->4,2342->1
מאוס,2954->1,3728->1,1001->2
Chicago,1009->1
דהלואיס,3703->2,4086->2
בסיור,4785->1,3583->1
מאות,882->1,769->1,2714->1,3905->1,3492->1,987->1,332->1,3063->1,3324->1,3232->1,1717->1,1612->1,3514->1,342->1,2388->1,1528->1,4174->1,4271->1,3958->1,4274->1,778->1,3930->1,164->1,902->1,2334->1,1707->1,3548->1,354->1,2532->2,1664->2,4850->1
דמויותיו,1550->1
מאור,1188->1,3454->1,1781->1,4392->2,4721->1,3729->1,4541->1
מעסיק,2531->1
במאי:,4947->1,4061->1,4314->1,3910->1,4178->1,317->1,3223->1,41->1,1804->2,4946->1,4689->1
דס,970->2
מגסי,3119->1
הבז,830->2
וסיימון,4271->1,2355->1
שאלכס,1118->2,2828->1
הפיתרון,3371->2
ינקו,2017->2,1357->2
הסטון,2815->2,2882->2,1714->2,3495->3,3889->2,4026->4,1748->2,2391->3,2189->3,1905->2,3980->2,3177->3
דק,405->2,1151->2,3735->2
אחראי,4260->1,3905->1,3861->1,3060->1,1987->1,4806->1,4901->1,3512->1,2224->1,1718->1,4673->1,2744->1,3080->1,201->1,713->2,2857->1,2185->1,4036->1,95->1,4839->1,4828->1,4992->1,1531->1,1101->1,1576->1
המתוסכל,3718->1,1125->1,1507->1
מאוד,2849->1,666->2,2654->1,2093->1,4787->1,4225->1,4783->1,1774->1,4595->1,3925->1,2664->1,4981->1,4869->2,1375->1,401->1,3497->1,1467->1,3990->1,4889->1,2460->1,1791->1,3976->1,2599->1,3405->1,4598->1,4716->1,4876->1,1704->1,1554->1,2493->1,4646->1,4645->1,4486->2,410->1,3844->1,530->1,2201->2,2064->1,2065->1,2195->1,1320->1,4107->1,2470->2,981->2,4091->1,3946->1,703->1,88->1,253->1,4314->1,2821->1,85->1,796->2,3476->1,3477->1,4445->1,3575->1,3162->1,4411->1,1409->1,2384->1,914->1,1010->1,4498->1,4215->1,3959->1,2938->1,1233->1,3952->1,3319->1,246->1,4624->1,4544->1,39->1,3019->1,1640->1,1414->1,4752->2,1649->1,3469->1,4959->1,3096->1,4979->1,2250->1,3759->1,1224->1,3616->1,4180->1,4183->1,576->1,333->1,3894->1,3298->1,1873->1,3003->1,2199->1,2800->1,3009->1,254->1,2731->1,4945->1,1631->1,3368->1,853->3,4826->1,3458->1,2904->1,4531->1,3697->1,1502->1,1501->2,4738->1,3510->1,1210->1,3872->1,4428->2,2818->1,169->1,3289->1,1869->1,1599->1,4601->2,4838->1,4176->1,3881->1,1625->1,4525->1,4076->1,3889->1,1183->1,2893->1,2892->1,724->1,3962->1,2519->1,2694->1,4080->1,4364->1,4367->1,4366->1,2924->1,1208->1,4912->1,609->1,4240->1,3063->1,4618->1,3535->2,4293->1,4767->1,1897->1,233->1,2137->1,3734->1,877->1,2348->1,1447->1,321->1,3183->1,1755->1,1563->1,147->1,144->2,3913->2,143->1,1171->1,1271->1,4501->1,4500->1,4503->1,3059->1,4795->1,4019->1,4156->1,3784->1,3118->1,3427->1,4395->1,4910->1,809->1,352->1,3105->1,803->1,1572->2,3729->1
סקאנדר,2622->2,150->2
They,4695->1
ירוקת,4306->1
בסיוט,1730->1,3478->1,4409->1,790->1
בסיום,1->1,889->1,3912->1,4531->1
ראיית,2575->1
ישדוד,1026->1
מיצג,1519->1
גמלאים,1877->1
ברכבי,4241->1,2030->1
פקידים,2647->1
גא'פר,4103->2
בשנים,1359->1,4665->1,2460->1,907->1,1998->1,4727->1,1072->1,2901->1,2453->1,4342->1,3417->1,4774->1,2032->1,4990->1,3002->1,803->1,2473->1,1959->1,3291->1,4850->1
ווסטפלדט,1805->2
תנינוזאור,2541->2
הבן,2862->1,884->2,311->1,608->2,3865->6,2497->1,4653->1,83->1,26->1,3554->1,2489->2,3513->1,2300->1,3127->2,3558->1,1257->3,2385->1,187->1,4966->1,2176->1,4861->1,2249->1,4686->1,2466->2,4252->3,611->1,2053->1,1179->1,3261->1,261->2,4799->1,3996->2,1599->1,1623->1,12->1,4409->1,2579->2,3683->1,4423->1,4173->1,4879->1,4719->1,2310->1,4014->2,3690->2,4698->2,2419->1,1763->2,2350->1,2797->1,2148->1
מדובאי,2098->1
מטופלת,3298->1,1663->1
ושמות,1298->1
בריסבי,3952->2
שהעדיפה,1635->1
ברומניה,1264->1,1196->1
3DD,1829->2
הרציני,955->1
בשנית,3395->1,4678->1,2868->1,3367->1,1490->1,1957->1,111->1,2753->1,2953->1
מאבודים,4495->1
ארב,4444->2
דל,4080->1,744->2,1301->1,4258->1,704->2,2776->2,3654->1,3958->2,3539->2,1907->1,3653->1,4944->1,3552->2,4591->1,403->3,545->1,425->2,774->2,563->2,3661->2,758->2,2468->2,860->2,4158->2,3503->1,1668->3,2374->2,294->2,1516->2,291->3
הטלוויזיונית,1827->1,4483->1,734->1,2496->1
המוקשים,251->3
בבראנץ',2158->1
אואסטריץ,594->2
ההסמכה,2496->1
שמועמד,4861->1,1604->1
הפרבר,4473->1,333->1
שמפלצות,1605->1
להמוני,1649->1
שמפצירה,96->1
גרהם,2410->1,2313->2,351->1,3222->2
מקצועיים,2341->1,2488->1,2087->1,2985->1,866->1,1469->1
מנהטן,1051->1,2382->2,1044->1,3930->1,3572->1,4116->1,4441->1,3524->1,1930->1,1659->1,1744->1,3313->1,1884->1,4957->1,2148->2
פרנססה,3287->2,1803->2
והסתה,4864->1
גרינקיסט,3876->2
שמאירות,4567->1
שפוליטיקלי,2478->1
ולמען,4343->1
למערב,1085->1,1949->1,4938->1,3114->1,4290->1,2150->2,1577->1
אקיקו,4743->2,4880->2,3369->2
המכוננים,3356->1
לראש,3258->1,3717->1,4810->1,788->1,4208->1,4506->1,1520->1,4990->1,2751->1,2797->1
למערה,2949->1
לוסינדה,2915->1,3586->2
כרוכה,4876->1,206->1
הפוליטיקאי,4009->1,2261->1
לשיירה,522->1
מפטרלים,1646->1
בטחוני,1365->1
לראי,1792->2
למערת,3412->1
ימרוד,2163->1
בטחונו,3164->1
than,1766->2
ולהתראות,3112->2
שמחמם,3767->1
