מילה,מספר מופעים
מאכט,8
למשה,1
לאומני,1
שהאוריי,1
בריתה,1
ומכונית,3
שמזמנים,1
וואטרסטון,6
ביחסים,4
שהשליטה,2
לקדרות,1
החול,6
החום,5
ואיכויות,1
החוט,1
ולעוז,1
ישאר,1
פיונה,17
החוג,2
פדר,2
החוב,10
גנפיר,2
אנקונדה,8
ושהטיול,1
שהחזרה,1
ה-1980,2
ולצעוד,1
כוחותיהם,3
וביוכימאית,1
להדביר,1
החכם,1
מגילאים,1
סוות,2
ג'יפרס,1
בתמיכת,3
למעיין,2
הנוצרת,1
סוופ,2
ולפלס,3
הכתבים,2
מיוחדים,33
סוון,7
הנוצרי,2
שחבר,2
הרופאים,4
much,1
גרינברג,20
משלו:,2
כדורמים,1
הדסון,51
אוסלנדר,1
פאבל,2
אניז',1
ליז,16
וחוק,1
הרסן,1
ליו,30
ליד,44
ליב,64
לין,99
ליל,53
לים,18
ליי,22
עירק,2
בזבז,1
שמפריד,1
כשפונה,1
ריגס,4
ובצדדיו,1
משטר,10
הכול:,4
ריגו,1
ריגן,15
אנטואןן,4
ריגל,12
אידיאליסטיות,1
ריגי,2
בדמויותיו,1
למחזמר,4
ליץ,2
ליף,4
ליס,2
וההיסטוריה,4
מאצוזקי,2
ובהתפתחות,1
שתופרת,2
לנוחות,1
ליר,3
ליש,3
והאמפיריות,1
תיכונית,1
שהוחלט,1
הצעירות,7
פרסיבל,4
קושר,2
ריזר,2
שמדרום,1
במכון,5
'ראיון,1
המרושעים,2
הקברניט,1
מתאגרף,9
דוואשל,2
המיוחל,7
השחורים,12
פערים,2
דוהמל,16
איגור,18
פאראפסיכולוגים,1
אושוויץ,2
גלורי,7
10:21נאמר,1
קושל,2
כמתנקשת,1
מאלכוהול,1
ספינלה,2
האחרון,169
וידוי,2
וכוללת,1
11-11-11,5
נבארו,2
וידוב,2
כחפרפרת,1
שנושאים,1
איוונס,1
בכנות,2
שקרניות,1
בבארים,1
ושזהותו,1
הסרטים,81
הגברים,30
ג'קלין,3
איוונה,4
לילדים,27
ראצ'סנא,1
וזכותם,1
רייקייאוויק,1
ארדוגן,2
הגברית,1
לקניון,3
המשחזר,2
כשמנסה,1
ורובם,1
האחרות,5
וידור,1
וגובהה,1
אאוטוויט,2
מאריבל,1
העיתונים,1
וידוע,4
מסוקרנת,2
שאלתם,1
הבקי,1
הבמות,1
מצורת,1
היצירתיות,1
חקר,5
גאש-לה,1
מצורף,1
יוסו,1
במשפחתה,2
למיני,1
מסכנת,8
פייר-איב,2
כאקט,2
אקלס,8
Happy,1
מפקח,7
נאמדת,1
מאבדת,9
מפקד,29
מסכנה,2
זרפה,2
טואר,2
מחוננת,2
והרגליים,1
אראנה,6
האחדוהיחיד,1
ואזורי,1
והזדהות,1
אנטיוילו,2
ממאפיונר,1
מערבוניים,1
ארדיה,2
נוספו,1
נוספה,1
אגלספילד,6
בקצרה,1
האנטינגטון-וויטלי,2
לכס,1
ונקלעת,2
המאיון,1
דייטים,5
תחזיקו,1
קטנותו,1
קונה,6
קונו,4
קונג,44
למנהל,4
קונן,7
קונל,2
מקבריג,4
ומייקל-,1
